M_S0,R_S0,M_C0,R_C0,M_I0,R_I0,SensorMassScalingFactor,SensorMassSpacingFactor,SensorReliabScalingFactor,CompMassScalingFactor,CompMassSpacingFactor,CompReliabScalingFactor,DissimilarComponentPenalty,M_SA,M_SB,M_SC,R_SA,R_SB,R_SC,M_CA,M_CB,M_CC,R_CA,R_CB,R_CC,NS,NC,NA,sensors,computers,Ibin_1,Ibin_2,Ibin_3,Ibin_4,Ibin_5,Ibin_6,Ibin_7,Ibin_8,Ibin_9,Inat_1,Inat_2,Inat_3,m,R,MTTF,Nlinks,Fields,N9
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,2,,300,220,49,49,,,,,,,,3,,,19,0.99949984,1998.860483,2,,3.300891113
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,2,,300,230,49,49,,,,,,,,3,,,33,0.99949992,1999.180169,2,,3.300960549
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,2,,300,330,49,49,,,,,,,,3,,,29,0.99949996,1999.340051,2,,3.300995271
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,100,111,49,49,49,,,,,,,7,,,12,0.998499999,666.1660978,3,,2.823908452
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,100,112,49,49,49,,,,,,,7,,,23,0.9985,666.1663641,3,,2.823908625
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,100,113,49,49,49,,,,,,,7,,,28,0.9985,666.1664528,3,,2.823908683
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,100,122,49,49,49,,,,,,,7,,,25,0.9985,666.1664706,3,,2.823908695
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,100,123,49,49,49,,,,,,,7,,,30,0.9985,666.1665061,3,,2.823908718
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,100,133,49,49,49,,,,,,,7,,,35,0.9985,666.1665238,3,,2.823908729
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,100,222,49,49,49,,,,,,,7,,,18,0.9985,666.1665132,3,,2.823908722
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,100,223,49,49,49,,,,,,,7,,,32,0.9985,666.1665274,3,,2.823908732
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,100,233,49,49,49,,,,,,,7,,,37,0.9985,666.1665345,3,,2.823908736
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,100,333,49,49,49,,,,,,,7,,,33,0.9985,666.166538,3,,2.823908739
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,200,111,49,49,49,,,,,,,7,,,15,0.998999999,999.4989176,3,,2.999999566
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,200,112,49,49,49,,,,,,,7,,,26,0.999,999.499517,3,,2.999999826
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,200,113,49,49,49,,,,,,,7,,,31,0.999,999.4997168,3,,2.999999913
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,200,122,49,49,49,,,,,,,7,,,28,0.999,999.4997568,3,,2.999999931
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,200,123,49,49,49,,,,,,,7,,,33,0.999,999.4998367,3,,2.999999965
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,200,133,49,49,49,,,,,,,7,,,38,0.999,999.4998767,3,,2.999999983
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,200,222,49,49,49,,,,,,,7,,,21,0.999,999.4998527,3,,2.999999972
