NS,NC,sensors,computers,Ibin_1,Ibin_2,Ibin_3,Ibin_4,Ibin_5,Ibin_6,Ibin_7,Ibin_8,Ibin_9,m,R,MTTF,Nlinks,N9
2,2,330,330,49,49,48,49,,,,,,38,0.99999961,2564562.368,3,6.40901335
2,2,330,330,49,48,49,49,,,,,,38,0.99999961,2564562.368,3,6.40901335
2,2,330,330,49,49,49,49,,,,,,38,0.99999971,3448275.475,4,6.537602016
2,3,110,111,48,49,48,49,49,49,,,,15,0.999996251,266755.1919,4,5.426113695
2,3,110,111,48,49,49,49,48,49,,,,15,0.999996251,266755.1919,4,5.426113695
2,3,110,111,48,49,49,49,49,49,,,,15,0.999997748,443951.4044,5,5.647335923
2,3,110,111,49,48,48,49,48,49,,,,15,0.99999625,266648.7632,3,5.425940388
2,3,110,111,49,49,48,49,48,49,,,,15,0.999996251,266755.1919,4,5.426113695
2,3,110,111,49,48,48,49,49,49,,,,15,0.999997746,443656.6989,4,5.647047533
2,3,110,111,49,49,48,49,49,49,,,,15,0.999997748,443951.4044,5,5.647335923
2,3,110,111,49,48,49,48,48,49,,,,15,0.99999625,266648.7632,3,5.425940388
2,3,110,111,49,48,49,49,48,49,,,,15,0.999997746,443656.6989,4,5.647047533
2,3,110,111,49,49,49,49,48,49,,,,15,0.999997748,443951.4045,5,5.647335923
2,3,110,111,49,48,49,48,49,49,,,,15,0.999996251,266755.192,4,5.426113695
2,3,110,111,49,48,49,49,49,49,,,,15,0.999997748,443951.4045,5,5.647335923
2,3,110,111,49,49,49,49,49,49,,,,15,0.999997749,444246.5018,6,5.647624505
2,3,110,112,48,49,48,49,49,49,,,,26,0.999996252,266797.8299,4,5.426183107
2,3,110,112,48,49,49,48,48,49,,,,26,0.999996251,266755.2346,3,5.426113764
2,3,110,112,48,49,49,49,48,49,,,,26,0.999996252,266797.8299,4,5.426183107
2,3,110,112,48,49,49,48,49,48,,,,26,0.999997149,350754.0457,3,5.545003308
2,3,110,112,48,49,49,48,49,49,,,,26,0.999997748,443951.5227,4,5.647336039
2,3,110,112,48,49,49,49,49,49,,,,26,0.999997748,444069.5145,5,5.647451449
2,3,110,112,49,48,48,49,48,49,,,,26,0.999997149,350754.0457,3,5.545003308
2,3,110,112,49,49,48,49,48,49,,,,26,0.999997151,350938.3351,4,5.54523143
2,3,110,112,49,48,48,49,49,49,,,,26,0.999997748,443951.5227,4,5.647336039
2,3,110,112,49,49,48,49,49,49,,,,26,0.999997749,444246.7973,5,5.647624794
2,3,110,112,49,48,49,48,48,49,,,,26,0.999996251,266755.2346,3,5.426113764
2,3,110,112,49,48,49,49,48,49,,,,26,0.999997748,443951.5227,4,5.647336039
2,3,110,112,49,49,49,48,48,49,,,,26,0.999997748,444128.7113,4,5.647509339
2,3,110,112,49,49,49,49,48,49,,,,26,0.999997749,444246.7976,5,5.647624795
2,3,110,112,49,48,49,48,49,49,,,,26,0.999996252,266797.8299,4,5.426183107
2,3,110,112,49,48,49,49,49,49,,,,26,0.999997748,444069.5145,5,5.647451449
2,3,110,112,49,49,49,48,49,48,,,,26,0.999997151,350938.3351,4,5.54523143
